sessionID	subjectID	Age	Sex	Edu	Occupation	RiskAttitude	timestamp	source
58	01HUM	19	male	abitur	500	2	10.6.2022 7:31 GMT+0200	89.105.167.38
60	13noz						10.6.2022 7:53 GMT+0200	95.91.249.212
59	29ZEP	29	male	ausbildung	1000	4	10.6.2022 7:53 GMT+0200	94.198.137.144
61	05IIE	56	female	master	1700	4	10.6.2022 7:57 GMT+0200	212.186.28.42
62	15ZBJ	25	female	ausbildung	500	2	10.6.2022 8:53 GMT+0200	87.147.166.228
63	24SCH	21	female	abitur	1000	3	10.6.2022 9:3 GMT+0200	88.217.135.221
65	10IBT	32	female	bachelor	1700	2	10.6.2022 9:30 GMT+0200	138.232.215.42
66	15FUW	22	female	abitur	500	3	10.6.2022 9:37 GMT+0200	138.232.236.22
69	28KMS	23	female	abitur	500	3	10.6.2022 9:53 GMT+0200	138.232.236.28
70	14MCG	23	male	abitur	1700	5	10.6.2022 9:54 GMT+0200	77.119.202.166
71	23ZMC	20	male	abitur	1000	3	10.6.2022 10:15 GMT+0200	178.165.197.186
72	54MKL	20	male	realschule	1700	5	10.6.2022 10:20 GMT+0200	178.165.197.186
75	23IMT	29	male	abitur	2300	4	10.6.2022 10:35 GMT+0200	194.166.162.7
77	03PRA	30	male	master	4500	4	6/10/2022 10:43 GMT+0200	138.232.1.196
78	31BCV	24	female	master	500	5	10.6.2022 10:49 GMT+0200	89.144.222.129
79	01JBA	26	male	master	4500	4	10.6.2022 10:50 GMT+0200	212.95.5.206
80	31BCV	24	female	master	500	5	10.6.2022 10:54 GMT+0200	89.144.222.129
82	10BUM	19	female	abitur	500	4	10.6.2022 11:20 GMT+0200	91.141.60.169
84	27HSW	22	male	abitur	500	3	10.6.2022 11:22 GMT+0200	213.225.2.156
85	05TAS	23	female	abitur	1000	3	10.6.2022 11:50 GMT+0200	46.114.150.31
87	28SEE	26	female	abitur	500	4	10.6.2022 13:10 GMT+0200	194.96.23.203
88	08LAP	31	male	bachelor	1000	4	10.6.2022 13:22 GMT+0200	91.115.120.170
89	01SGM	24	male	abitur	1000	4	10.6.2022 13:39 GMT+0200	165.225.201.128
90	18BAK	19	female	abitur	500	2	10.6.2022 14:0 GMT+0200	138.232.236.229
91	03CMB	26	female	abitur	1700	5	10.6.2022 14:5 GMT+0200	84.115.237.173
93	03CMB	26	female	abitur	1700	5	10.6.2022 14:13 GMT+0200	84.115.237.173
96	25GAP	22	female	abitur	500	2	10.6.2022 14:53 GMT+0200	84.115.236.194
97	19SJH	24	male	bachelor	500	3	10.6.2022 16:3 GMT+0200	84.115.224.11
98	26SGA	20	female	abitur	500	6	10.6.2022 16:14 GMT+0200	77.75.26.71
100	11SGR	23	male	abitur	500	2	10.6.2022 17:6 GMT+0200	84.115.230.52
101	21IAT	21	male	abitur	500	3	10.6.2022 17:48 GMT+0200	193.83.114.94
102	11BME		male	abitur	1000	6	10.6.2022 17:57 GMT+0200	178.190.105.81
103	11BMI					7	10.6.2022 17:59 GMT+0200	178.190.105.81
104	18BAK	19	female	abitur	500	2	10.6.2022 18:0 GMT+0200	138.232.236.229
106	19DBV	32	male	master	4500	4	10.6.2022 18:28 GMT+0200	193.189.178.74
108	28TNJ	21	male	abitur	500	3	10.6.2022 20:27 GMT+0200	83.175.70.75
109	21INV	20	female	abitur	500	3	10.6.2022 20:38 GMT+0200	45.89.94.181
110	05ECR	21	female	abitur	500	3	10.6.2022 20:52 GMT+0200	213.162.80.171
112	08IMI	19	female	abitur	500	3	10.6.2022 21:47 GMT+0200	213.142.96.245
113	17TCP	19	female	abitur	500	5	10.6.2022 21:50 GMT+0200	85.90.141.44
114	30SCD	21	female	abitur	500	4	11.6.2022 0:23 GMT+0200	83.175.70.79
115	17BBH	21	female	abitur	1000	3	11/06/2022 9:9 GMT+0200	83.175.70.75
118	13KEA	19	female	abitur	500	3	11.6.2022 10:0 GMT+0200	89.144.194.146
119	01RWH	26	male	bachelor	500	4	11.6.2022 11:14 GMT+0200	138.232.236.26
120	16LSP	26	male	bachelor	4500	4	11.6.2022 11:52 GMT+0200	91.113.125.209
121	28HAS	21	male	abitur	500	3	11.6.2022 12:36 GMT+0200	91.114.156.118
122	10MCO	23	male	abitur	500	2	11.6.2022 13:1 GMT+0200	138.232.1.196
124	12FDT	21	female	abitur	500	3	11.6.2022 15:43 GMT+0200	84.115.239.125
126	04WAP	2	female	abitur	1700	3	11.6.2022 16:30 GMT+0200	83.219.163.104
127	04WAP	27	female	abitur	1700	3	11.6.2022 16:31 GMT+0200	83.219.163.104
128	06HDA	22	female	abitur	500	2	11.6.2022 17:37 GMT+0200	213.162.80.167
129	05MBJ	22	male	abitur	500	4	11.6.2022 19:20 GMT+0200	83.175.70.82
130	05rgf	35	female	master	3000	4	11.6.2022 19:45 GMT+0200	217.149.167.40
131	20FHC	22	female	abitur	500	5	11.6.2022 19:55 GMT+0200	197.188.212.70
132	27IMM	22	female	abitur	1000	5	11.6.2022 19:58 GMT+0200	197.188.212.70
133	07DCT	22	female	abitur	500	5	11/06/2022 20:1 GMT+0200	83.175.106.103
134	10KBW	21	female	abitur	500	4	11.6.2022 20:7 GMT+0200	83.175.70.74
135	12BCI	19	female	abitur	1000	2	11.6.2022 21:35 GMT+0200	178.115.68.98
137	06HCL	28	female	abitur	500	6	11.6.2022 22:28 GMT+0200	212.186.60.236
140	05BMB	24	female	ausbildung	500	4	12.6.2022 10:30 GMT+0200	84.115.237.65
146	04SFH	25	male	abitur	500	4	12.6.2022 14:56 GMT+0200	91.115.187.225
147	27TEH	32	female	master	2300	4	12/06/2022 16:27 GMT+0200	83.175.80.227
152	11DBW	20	female	abitur	500	3	12.6.2022 21:17 GMT+0200	213.163.243.71
156	25ICM	23	female	abitur	500	2	12.6.2022 23:13 GMT+0200	213.162.81.202
158	04OJE	22	female	abitur	500	3	13.6.2022 10:17 GMT+0200	84.152.199.199
160	20IPC	26	female	bachelor	500	2	13.6.2022 10:34 GMT+0200	138.232.236.26
161	02WER	32	female	master	2300	3	13/06/2022 11:37 GMT+0200	138.232.121.167
163	03TCO	23	female	abitur	500	1	13.6.2022 12:15 GMT+0200	138.232.236.22
164	20FJA	23	female	abitur	500	5	13.6.2022 12:54 GMT+0200	138.232.236.35
165	20FJA	23	female		500	5	13.6.2022 12:55 GMT+0200	138.232.236.35
167	12RGM	26	male	abitur	1700	6	13.6.2022 13:56 GMT+0200	213.208.157.36
168	16MCC	24	male	abitur	500	4	13.6.2022 14:7 GMT+0200	212.102.57.209
169	07OMA	21	female	abitur	500	2	13.6.2022 16:38 GMT+0200	138.232.1.196
170	05ICR	21	female	abitur	500	3	13.6.2022 16:58 GMT+0200	185.196.179.219
171	30MMW	23	female	abitur	1000	3	13.6.2022 17:3 GMT+0200	84.115.231.113
172	06LSE	22	female	abitur	500	5	13/06/2022 17:9 GMT+0200	89.144.222.58
173	22TIN	30	male	bachelor	500	5	13.6.2022 17:16 GMT+0200	178.165.164.181
174	16CSR	29	male	abitur	1700	4	13.6.2022 18:43 GMT+0200	81.223.76.138
176	11LSM	20	female	abitur	500	2	13.6.2022 20:11 GMT+0200	138.232.236.241
179	23BSM	24	male	abitur	500	2	6/14/2022 0:43 GMT+0200	46.124.178.236
180	07BEA	34	male	ausbildung	1700	1	14.6.2022 1:0 GMT+0200	91.141.52.65
182	22HKH	20	female	abitur	500	4	6/14/2022 10:19 GMT+0200	138.232.236.21
183	01SDK	27	female	bachelor	500	2	14.6.2022 12:24 GMT+0200	213.162.81.84
184	20JEC	22	male	abitur	1000	5	14.6.2022 12:31 GMT+0200	46.75.59.50
186	13IBB	23	female	bachelor	1000	1	14.6.2022 16:38 GMT+0200	138.232.1.198
188	05REM	20	female	abitur	500	3	14.6.2022 19:27 GMT+0200	84.189.149.40
189	21SMA	26	male	abitur	3000	6	15.6.2022 10:44 GMT+0200	213.162.81.159
190	17NSL	25	female	bachelor	1000	4	15.6.2022 10:52 GMT+0200	83.175.67.43
191	09RHR	29	male	bachelor	1000	3	15.6.2022 12:24 GMT+0200	217.88.87.10
192	20NMG	28	male	abitur	1000	3	15.6.2022 12:56 GMT+0200	83.175.92.203
193	28WAH	21	male	abitur	500	4	15.6.2022 14:54 GMT+0200	109.43.48.72
194	07sbw	30	male	abitur	500	6	15.6.2022 19:24 GMT+0200	109.43.50.81
195	24MMS	19	female	abitur	500	3	15.6.2022 22:17 GMT+0200	46.125.250.119
197	08ILH	24	female	master	2300	4	16.6.2022 9:9 GMT+0200	77.119.198.150
198	07WAM	23	male	abitur	500	4	16.6.2022 15:21 GMT+0200	217.149.165.136
199	30ASR	21	male	abitur	1000	4	16.6.2022 16:34 GMT+0200	83.175.70.75
200	14CBR	22	female	abitur	1000	5	16.6.2022 17:19 GMT+0200	46.183.103.8
202	15RCR	23	female	abitur	1000	4	17.6.2022 11:9 GMT+0200	91.3.91.104
203	01AKA	22	female	abitur	1700	4	17.6.2022 11:13 GMT+0200	91.42.44.73
204	03BBM	23	female	abitur	500	5	17.6.2022 20:39 GMT+0200	213.225.36.143
205	06BVA	21	female	abitur	500	5	17.6.2022 23:17 GMT+0200	84.115.236.130
207	13hij	25	female	abitur	500	3	19.6.2022 11:14 GMT+0200	84.115.231.143
208	15GRK	22	female	abitur	1000	5	19.6.2022 11:59 GMT+0200	212.186.28.58
210	14ZHK	22	male	bachelor	500	3	6/19/2022 18:35 GMT+0200	213.225.15.55
214	02MFM	19	female	abitur	500	4	21.6.2022 16:39 GMT+0200	213.208.157.55
215	02MFM	19	female	abitur	500	4	21.6.2022 21:58 GMT+0200	138.232.236.241
217	13MGM	22	female	abitur	500	3	22.6.2022 15:57 GMT+0200	84.115.228.224
218	10FHI	21	female	abitur	500	2	22.6.2022 16:35 GMT+0200	213.162.81.136
219	28KRA		male	abitur	500	2	23.6.2022 12:57 GMT+0200	138.232.236.49
220	25RCW	29	male	bachelor	500	5	23/06/2022 13:28 GMT+0200	77.119.201.35
